City,PM2.5,PM10,NO,NOx,NH3,CO,SO2,Benzene,AQI
Ahmedabad,24.79,66.54,6.36,19.86,9.86,6.36,7.76,0.82,
Ahmedabad,11.04,38.34,6.01,24.74,6.78,6.01,38.05,0,47
Ahmedabad,9.74,33.83,8.05,25.53,5.66,8.05,23.84,0,51
Ahmedabad,10.35,30.98,6.59,25.9,4.43,6.59,48.05,0,52
Ahmedabad,28.85,64.52,6.86,22.25,6.12,6.86,39.85,0,
Ahmedabad,22.81,53.85,7.76,24.29,5.76,7.76,9.89,0,88
Ahmedabad,28.54,56.36,7.41,19.03,8.96,7.41,3.13,2.5,78
Ahmedabad,18.46,39.45,8.56,24.15,12.76,8.56,0.76,5.09,90
Ahmedabad,23.9,37.71,8.21,19.74,12.69,8.21,0.52,3.63,43
Ahmedabad,,,8.26,21.58,,8.26,1.02,3.59,
Ahmedabad,,,9.63,24.53,,9.63,0.81,3.67,
Ahmedabad,17,50,8.67,27.25,18,8.67,1.05,2.85,
Ahmedabad,29.12,74.4,9.35,29.9,10.16,9.35,0.74,2.83,
Ahmedabad,14.42,36.29,8.54,24.8,7.77,8.54,0.87,2.52,55
Ahmedabad,19.06,43.83,7.53,21.89,9.06,7.53,2.17,1.88,
Ahmedabad,12.42,36.29,7.59,21.11,4.63,7.59,4.11,1.82,52
Ahmedabad,21.4,54.19,7.34,21.25,9.19,7.34,4.04,2.55,
Ahmedabad,16.78,42.22,7.55,19.23,7.82,7.55,4.01,1.64,84
Ahmedabad,19.77,62.11,7.15,17.76,9.3,7.15,5.62,1.26,95
Ahmedabad,22.63,54.13,7.99,19.06,9.67,7.99,4.1,1.5,58
Ahmedabad,22.44,55.03,7.45,18.62,9.46,7.45,4.99,1.4,
Ahmedabad,15.2,45.09,7.34,17.44,8.99,7.34,10.86,1.3,125
Ahmedabad,9.58,28.33,8.68,18.36,13.54,8.68,12.28,1.98,192
Ahmedabad,43.35,103.42,8.58,21.36,10.89,8.58,11.09,1.76,
Ahmedabad,16.44,54.42,9.15,18.98,9.16,9.15,12.31,1.87,81
Ahmedabad,27.93,81.18,8.07,17.59,8.48,8.07,13.91,1.34,
Ahmedabad,13.23,41.25,9.23,20.74,9.37,9.23,5.27,1.84,65
Ahmedabad,20.52,77.6,8.87,22.64,11.75,8.87,8.09,1.32,
Ahmedabad,25.62,56.44,9.01,20.36,11.52,9.01,7.31,1.27,86
Ahmedabad,40.32,66.25,9.56,21.5,10.61,9.56,5.72,1.77,62
Ahmedabad,13.07,37.35,9.43,19.23,9.78,9.43,6.78,2,78
Ahmedabad,16.56,41.96,8.03,17.57,9.48,8.03,9.33,1.68,114
Ahmedabad,19.57,44.72,8.11,17.56,10.79,8.11,7.93,2.1,103
Ahmedabad,30.96,72.18,8.91,21.28,11.18,8.91,10.05,2.15,134
Ahmedabad,32.1,83.29,9.74,20.82,9.85,9.74,10.87,1.62,168
Ahmedabad,31.82,74.79,10.55,18.35,9.97,10.55,10.28,2.46,150
Ahmedabad,37.5,84.96,11.48,11.64,10.06,11.48,10.25,1.77,127
Ahmedabad,23.25,61.1,11.55,11.66,9.62,11.55,12.7,1.69,106
Ahmedabad,27.42,57.28,11.49,11.65,7.89,11.49,10.07,1.71,129
Ahmedabad,31.26,72.82,11.47,11.64,9.02,11.47,11.09,1.57,136
Ahmedabad,28.12,70.21,11.3,11.53,11.27,11.3,7.73,1.72,155
Ahmedabad,32.33,55.74,10.8,11.16,13.99,10.8,7.8,0.95,87
Ahmedabad,19.29,31.22,8,10.67,17.3,8,10,1.54,84
Ahmedabad,17.99,29.24,0.64,8.57,14.89,0.64,16.31,1.63,85
Ahmedabad,12.72,24.79,0.6,8.51,10.79,0.6,18.93,1.52,91
Ahmedabad,13.65,35.39,0.65,8.55,9.14,0.65,18.99,1.23,76
Ahmedabad,17.64,47.81,0.72,8.56,9.74,0.72,11.28,0.61,60
Ahmedabad,23.43,57.11,0.55,8.49,10.29,0.55,10.29,0.52,69
Ahmedabad,25.92,68.27,0.67,8.43,9.72,0.67,1.28,5,64
Ahmedabad,32.7,103.88,0.55,8.42,11.4,0.55,14.58,2.81,98
Ahmedabad,31.58,107.31,0.1,7.88,13.41,0.1,13.62,1.44,128
Ahmedabad,22.9,69.96,0.06,7.77,10.54,0.06,13.58,1.37,113
Ahmedabad,24.23,78.11,0.14,7.97,10.85,0.14,15.11,0.36,87
Ahmedabad,17.92,68.72,0.18,8.16,10.72,0.18,11.52,0.52,79
Ahmedabad,17.38,55.59,1.52,9.74,9.36,1.52,11.23,1.29,69
Ahmedabad,19.06,59.46,5.89,17.15,10.32,5.89,11.56,0.58,78
Ahmedabad,18.81,55.66,5.75,16.64,11.32,5.75,14.7,1.61,88
Ahmedabad,18.69,50.06,7.01,17.58,12.21,7.01,12.95,1.65,101
Ahmedabad,17.85,43.47,6.92,17.39,11.67,6.92,19.8,2.05,80
Ahmedabad,18.09,45.11,6.74,17.26,9.25,6.74,8.27,1.85,89
Ahmedabad,18.93,60.89,6.91,17.42,10.94,6.91,13.48,1.8,71
Ahmedabad,16.86,48.26,7.21,17.07,10.01,7.21,13.62,1.67,68
Ahmedabad,16.85,54.97,6.69,27.21,11.26,6.69,5.69,1.36,56
Ahmedabad,16.46,33.5,6.99,27.41,11.74,6.99,9.23,0.72,65
Ahmedabad,18.4,49.43,7.17,27.57,13.37,7.17,6.28,1.36,66
Ahmedabad,20.31,49.14,7.14,27.45,12.81,7.14,6.77,1.22,96
Ahmedabad,23.99,46.59,7.22,27.42,15.06,7.22,8.66,0.86,68
Ahmedabad,20.36,41.99,7.4,27.5,13.73,7.4,9.95,0.8,76
Ahmedabad,15.08,38.79,7.35,27.55,10.28,7.35,9.74,1.31,70
Ahmedabad,19.42,69.33,7.48,27.71,10.96,7.48,8.92,1.17,75
Ahmedabad,13.93,48.97,7.47,27.68,11.11,7.47,11.73,1.82,73
Ahmedabad,18.29,41.01,7.49,27.55,13.21,7.49,11.23,1.38,85
Ahmedabad,17.25,32.02,7.57,27.51,11.04,7.57,8.21,3.62,83
Ahmedabad,13.43,26.94,7.3,27.57,9.79,7.3,6.41,0,73
Ahmedabad,16.83,38.25,7.35,27.58,9.56,7.35,9.17,0.79,75
Ahmedabad,18.16,38.17,7.41,27.51,10.87,7.41,9.64,1.21,63
Ahmedabad,16.89,30.98,7.31,27.45,10.19,7.31,10.65,2,62
Ahmedabad,15.95,25.24,7.41,27.57,16.27,7.41,9.33,1.63,79
Ahmedabad,14.05,30.86,12.38,30.02,13.78,12.38,10.37,1.56,37
Ahmedabad,9.85,29.97,17.31,32.15,15.05,17.31,10.76,1.67,35
Ahmedabad,8.68,26.62,17.24,32.06,12.07,17.24,12.39,0.91,31
Ahmedabad,7.5,24.01,17.17,31.99,11.23,17.17,11.68,1.29,29
Ahmedabad,7.75,28.62,17.12,31.98,13.07,17.12,12.96,1.08,32
Ahmedabad,10.45,41.47,17.08,31.93,14.62,17.08,4.73,0.91,39
Ahmedabad,12.7,49.26,17.11,31.9,11.05,17.11,8.86,0,48
Ahmedabad,14.48,35.5,17.01,31.85,12.61,17.01,7.05,0,42
Ahmedabad,17.96,47.61,17.07,31.96,14.75,17.07,10.9,0,73
Ahmedabad,16.87,50.6,16.98,31.81,14.92,16.98,10.02,0,59
Ahmedabad,16.46,62.29,17.04,31.88,15.03,17.04,4.23,0,
Ahmedabad,17.42,56.44,17.05,31.91,15.6,17.05,5.96,0,55
Ahmedabad,17.79,68.97,17.03,31.85,14.24,17.03,3.69,0,86
Ahmedabad,18.75,82.27,17.01,31.83,16.15,17.01,6.45,0,100
Ahmedabad,11.92,46.76,17.04,31.89,16.19,17.04,6.13,0,85
Ahmedabad,17.74,80.26,16.97,31.84,18.23,16.97,8.87,0,57
Ahmedabad,21.78,76.32,16.97,31.78,18.8,16.97,9.89,0,85
Ahmedabad,28.31,98.01,16.95,31.84,18.71,16.95,6.88,0,85
Ahmedabad,27.1,112.48,16.94,31.82,21.23,16.94,8.56,0,106
Ahmedabad,20.21,91.71,17,31.85,18.05,17,15.13,0,100
Ahmedabad,18.52,51.48,16.31,67.22,20.07,16.31,8.73,0,68
Ahmedabad,25.59,70.1,9.46,21.77,21.89,9.46,11.63,0,61
Ahmedabad,21.79,75.21,8.68,24.1,19.74,8.68,8.1,0,71
Ahmedabad,24,80,7.14,18.61,35.2,7.14,7.92,0,77
Ahmedabad,17.79,72.48,6.82,16.78,16.48,6.82,11.58,0,
Ahmedabad,18.47,52.91,8.43,19.78,16.57,8.43,11.63,0,111
Ahmedabad,16.73,40.15,7.14,18.07,19.69,7.14,5.85,0,47
Ahmedabad,18.72,57.71,6.61,16.55,22.11,6.61,8.82,0,47
Ahmedabad,11.39,28.72,6.5,16.2,24.46,6.5,9.2,0,48
Ahmedabad,10.62,19.96,7.68,20.56,17.43,7.68,8.28,0,49
Ahmedabad,8.1,15.83,8.45,19.44,11.88,8.45,12.59,0,50
Ahmedabad,9.28,16.42,,,14.27,,,,57
Ahmedabad,7.45,20.5,9.95,22.19,14.63,9.95,9.51,0,60
Ahmedabad,15.32,45.04,9.21,18.89,15.07,9.21,5.98,0,52
Ahmedabad,8.84,23.71,10.61,20.23,18.92,10.61,3.69,0,54
Ahmedabad,11.39,24.61,9.26,19.74,13.6,9.26,7.72,0,63
Ahmedabad,12.51,32.52,8.69,28.44,14.61,8.69,4.83,0,53
